"","Tray..","Sample","site","microsite_condition","surface_depth","Species","double_control"
"1",110,"14-D-5","14","dung","5-10","Chenopodium leptophyllum",FALSE
"2",108,"14-D-S","14","dung","surface","Chenopodium leptophyllum",FALSE
"3",92,"12-B-S","12","biocrust","surface","Chenopodium leptophyllum",FALSE
"4",161,"C1","C1","double_control","double_control","Thlaspi arvense",TRUE
"5",93,"12-B-0","12","biocrust","0-5","Chenopodium leptophyllum",FALSE
"6",36,"5-D-S","5","dung","surface","Chenopodium leptophyllum",FALSE
"7",132,"17-D-S","17","dung","surface","Bassia scoparia",FALSE
"8",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"9",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"10",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"11",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"12",44,"6-D-S","6","dung","surface","Artemisia frigida",FALSE
"13",47,"6-C-0","6","control","0-5","Artemisia frigida",FALSE
"14",47,"6-C-0","6","control","0-5","Artemisia frigida",FALSE
"15",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"16",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"17",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"18",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"19",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"20",132,"17-D-S","17","dung","surface","Artemisia frigida",FALSE
"21",50,"7-B-0","7","biocrust","0-5","Artemisia frigida",FALSE
"22",5,"1-D-0","1","dung","0-5","Artemisia frigida",FALSE
"23",5,"1-D-0","1","dung","0-5","Artemisia frigida",FALSE
"24",6,"1-D-5","1","dung","5-10","Fallopia convolvulus",FALSE
"25",66,"9-B-0","9","biocrust","0-5","Artemisia frigida",FALSE
"26",66,"9-B-0","9","biocrust","0-5","Artemisia frigida",FALSE
"27",82,"11-B-0","11","biocrust","0-5","Artemisia frigida",FALSE
"28",121,"16-B-S","16","biocrust","surface","Artemisia frigida",FALSE
"29",100,"13-D-S","13","dung","surface","Chenopodium leptophyllum",FALSE
"30",103,"13-C-0","13","control","0-5","Artemisia frigida",FALSE
"31",11,"2-B-5","2","biocrust","5-10","Artemisia frigida",FALSE
"32",71,"9-C-0","9","control","0-5","Artemisia frigida",FALSE
"33",116,"15-D-S","15","dung","surface","Suaeda calceoliformis",FALSE
"34",38,"5-D-5","5","dung","5-10","Artemisia frigida",FALSE
"35",125,"16-D-0","16","dung","0-5","Artemisia frigida",FALSE
"36",145,"19-B-S","19","biocrust","surface","Artemisia frigida",FALSE
"37",124,"16-D-S","16","dung","surface","Artemisia frigida",FALSE
"38",101,"13-D-0","13","dung","0-5","Artemisia frigida",FALSE
"39",65,"9-B-S","9","biocrust","surface","Artemisia frigida",FALSE
"40",4,"1-D-S","1","dung","surface","Chenopodium leptophyllum",FALSE
"41",89,"12-B-S","12","biocrust","surface","Artemisia frigida",FALSE
"42",87,"11-C-0","11","control","0-5","Artemisia frigida",FALSE
"43",140,"18-D-S","18","dung","surface","Sporobolus cryptandrus",FALSE
"44",98,"13-B-0","13","biocrust","0-5","Sporobolus cryptandrus",FALSE
"45",54,"7-D-5","7","dung","5-10","Gnaphalium uliginosum",FALSE
"46",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"47",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"48",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"49",61,"8-D-0","8","dung","0-5","Poa compressa",FALSE
"50",148,"19-D-S","19","dung","surface","Bassia scoparia",FALSE
"51",148,"19-D-S","19","dung","surface","Bassia scoparia",FALSE
"52",60,"8-D-S","8","dung","surface","Plantago major",FALSE
"53",113,"15-B-S","15","biocrust","surface","Hesperostipa comata",FALSE
"54",117,"15-D-0","15","dung","0-5","Sporobolus cryptandrus",FALSE
"55",117,"15-D-0","15","dung","0-5","Sporobolus cryptandrus",FALSE
"56",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"57",124,"16-D-S","16","dung","surface","Sporobolus cryptandrus",FALSE
"58",118,"15-D-5","15","dung","5-10","Sporobolus cryptandrus",FALSE
"59",93,"12-D-0","12","dung","0-5","Sporobolus cryptandrus",FALSE
"60",133,"17-D-0","17","dung","0-5","Sporobolus cryptandrus",FALSE
"61",9,"2-B-S","2","biocrust","surface","Poa compressa",FALSE
"62",39,"5-C-0","5","control","0-5","Koeleria macrantha",FALSE
"63",97,"13-B-S","13","biocrust","surface","Koeleria macrantha",FALSE
"64",101,"13-D-0","13","dung","0-5","Sporobolus cryptandrus",FALSE
"65",6,"1-D-5","1","dung","5-10","Artemisia frigida",FALSE
"66",132,"17-D-S","17","dung","surface","Suaeda calceoliformis",FALSE
"67",157,"20-D-0","20","dung","0-5","Bassia scoparia",FALSE
"68",64,"8-C-5","8","control","5-10","Fallopia convolvulus",FALSE
"69",89,"12-B-S","12","biocrust","surface","Artemisia frigida",FALSE
"70",90,"12-B-0","12","biocrust","0-5","Koeleria macrantha",FALSE
"71",90,"12-B-0","12","biocrust","0-5","Koeleria macrantha",FALSE
"72",41,"6-B-S","6","biocrust","surface","Artemisia frigida",FALSE
"73",25,"4-B-S","4","biocrust","surface","Artemisia frigida",FALSE
"74",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"75",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"76",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"77",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"78",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"79",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"80",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"81",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"82",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"83",127,"16-C-0","16","control","0-5","Artemisia frigida",FALSE
"84",28,"4-D-S","4","dung","surface","Artemisia frigida",FALSE
"85",73,"10-B-S","10","biocrust","surface","Artemisia frigida",FALSE
"86",33,"5-B-S","5","biocrust","surface","Artemisia frigida",FALSE
"87",33,"5-B-S","5","biocrust","surface","Artemisia frigida",FALSE
"88",33,"5-B-S","5","biocrust","surface","Koeleria macrantha",FALSE
"89",57,"8-B-S","8","biocrust","surface","Koeleria macrantha",FALSE
"90",101,"13-D-0","13","dung","0-5","Koeleria macrantha",FALSE
"91",101,"13-D-0","13","dung","0-5","Koeleria macrantha",FALSE
"92",92,"12-D-S","12","dung","surface","Koeleria macrantha",FALSE
"93",92,"12-D-S","12","dung","surface","Sporobolus cryptandrus",FALSE
"94",151,"19-C-0","19","control","0-5","Koeleria macrantha",FALSE
"95",92,"12-B-5","12","biocrust","5-10","Chenopodium leptophyllum",FALSE
"96",37,"5-D-0","5","dung","0-5","Gnaphalium uliginosum",FALSE
"97",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"98",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"99",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"100",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"101",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"102",85,"11-D-0","11","dung","0-5","Carex duriuscula",FALSE
"103",57,"8-B-S","8","biocrust","surface","Carex duriuscula",FALSE
"104",117,"15-D-0","15","dung","0-5","Carex duriuscula",FALSE
"105",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"106",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"107",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"108",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"109",29,"4-D-0","4","dung","0-5","Poa pratensis",FALSE
"110",93,"12-D-0","12","dung","0-5","Androsace septentrionalis",FALSE
"111",95,"12-C-0","12","control","0-5","Androsace septentrionalis",FALSE
"112",44,"6-D-S","6","dung","surface","Typha latifolia",FALSE
"113",74,"10-B-0","10","biocrust","0-5","Typha latifolia",FALSE
"114",21,"3-D-0","3","dung","0-5","Typha latifolia",FALSE
"115",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"116",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"117",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"118",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"119",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"120",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"121",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"122",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"123",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"124",84,"11-D-S","11","dung","surface","Carex praegracilis",FALSE
"125",36,"5-D-S","5","dung","surface","Carex praegracilis",FALSE
"126",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"127",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"128",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"129",4,"1-D-S","1","dung","surface","Carex duriuscula",FALSE
"130",4,"1-D-S","1","dung","surface","Carex duriuscula",FALSE
"131",76,"10-D-S","10","dung","surface","Carex duriuscula",FALSE
"132",103,"13-C-0","13","control","0-5","Androsace occidentalis",FALSE
"133",53,"7-D-0","7","dung","0-5","Typha latifolia",FALSE
"134",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"135",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"136",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"137",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"138",151,"19-C-0","19","control","0-5","Carex inops subsp. heliophila",FALSE
"139",151,"19-C-0","19","control","0-5","Carex duriuscula",FALSE
"140",141,"18-D-0","18","dung","0-5","Carex praegracilis",FALSE
"141",141,"18-D-0","18","dung","0-5","Carex duriuscula",FALSE
"142",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"143",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"144",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"145",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"146",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"147",132,"17-D-S","17","dung","surface","Juncus balticus",FALSE
"148",132,"17-D-S","17","dung","surface","Juncus balticus",FALSE
"149",41,"6-B-S","6","biocrust","surface","Bassia scoparia",FALSE
"150",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"151",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"152",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"153",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"154",37,"5-D-0","5","dung","0-5","Sporobolus cryptandrus",FALSE
"155",37,"5-D-0","5","dung","0-5","Carex praegracilis",FALSE
"156",37,"5-D-0","5","dung","0-5","Carex duriuscula",FALSE
"157",37,"5-D-0","5","dung","0-5","Carex duriuscula",FALSE
"158",52,"7-D-S","7","dung","surface","Gnaphalium uliginosum",FALSE
"159",70,"9-D-5","9","dung","5-10","Carex duriuscula",FALSE
"160",85,"11-D-0","11","dung","0-5","Carex inops subsp. heliophila",FALSE
"161",148,"19-D-S","19","dung","surface","Carex inops subsp. heliophila",FALSE
"162",148,"19-D-S","19","dung","surface","Carex duriuscula",FALSE
"163",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"164",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"165",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"166",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"167",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"168",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"169",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"170",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"171",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"172",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"173",60,"8-D-S","8","dung","surface","Carex praegracilis",FALSE
"174",60,"8-D-S","8","dung","surface","Carex duriuscula",FALSE
"175",60,"8-D-S","8","dung","surface","Hesperostipa comata",FALSE
"176",60,"8-D-S","8","dung","surface","Poa pratensis",FALSE
"177",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"178",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"179",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"180",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"181",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"182",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"183",81,"11-B-S","11","biocrust","surface","Carex inops subsp. heliophila",FALSE
"184",53,"7-D-0","7","dung","0-5","Carex inops subsp. heliophila",FALSE
"185",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"186",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"187",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"188",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"189",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"190",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"191",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"192",149,"19-D-0","19","dung","0-5","Carex praegracilis",FALSE
"193",71,"9-C-0","9","control","0-5","Carex duriuscula",FALSE
"194",46,"6-D-5","6","dung","5-10","Carex duriuscula",FALSE
"195",46,"6-D-5","6","dung","5-10","Carex duriuscula",FALSE
"196",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"197",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"198",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"199",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"200",165,"C5","C5","double_control","double_control","Poa palustris",TRUE
"201",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"202",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"203",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"204",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"205",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"206",30,"4-D-5","4","dung","5-10","Carex duriuscula",FALSE
"207",30,"4-D-5","4","dung","5-10","Carex duriuscula",FALSE
"208",29,"4-D-0","4","dung","0-5","Carex duriuscula",FALSE
"209",29,"4-D-0","4","dung","0-5","Carex duriuscula",FALSE
"210",29,"4-D-0","4","dung","0-5","Carex duriuscula",FALSE
"211",29,"4-D-0","4","dung","0-5","Carex duriuscula",FALSE
"212",29,"4-D-0","4","dung","0-5","Carex inops subsp. heliophila",FALSE
"213",29,"4-D-0","4","dung","0-5","Carex inops subsp. heliophila",FALSE
"214",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"215",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"216",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"217",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"218",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"219",108,"14-D-S","14","dung","surface","Poa pratensis",FALSE
"220",148,"19-D-S","19","dung","surface","Carex spp.",FALSE
"221",148,"19-D-S","19","dung","surface","Carex spp.",FALSE
"222",148,"19-D-S","19","dung","surface","Juncus balticus",FALSE
"223",148,"19-D-S","19","dung","surface","Juncus balticus",FALSE
"224",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"225",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"226",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"227",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"228",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"229",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"230",36,"5-D-S","5","dung","surface","Poa pratensis",FALSE
"231",36,"5-D-S","5","dung","surface","Sporobolus cryptandrus",FALSE
"232",4,"1-D-S","1","dung","surface","Sporobolus cryptandrus",FALSE
"233",4,"1-D-S","1","dung","surface","Sporobolus cryptandrus",FALSE
"234",4,"1-D-S","1","dung","surface","Sporobolus cryptandrus",FALSE
"235",4,"1-D-S","1","dung","surface","Sporobolus cryptandrus",FALSE
"236",92,"12-D-S","12","dung","surface","Sporobolus cryptandrus",FALSE
"237",92,"12-D-S","12","dung","surface","Sporobolus cryptandrus",FALSE
"238",92,"12-D-S","12","dung","surface","Poa pratensis",FALSE
"239",92,"12-D-S","12","dung","surface","Poa pratensis",FALSE
"240",92,"12-D-S","12","dung","surface","Poa pratensis",FALSE
"241",92,"12-D-S","12","dung","surface","Poa pratensis",FALSE
"242",92,"12-D-S","12","dung","surface","Carex duriuscula",FALSE
"243",92,"12-D-S","12","dung","surface","Carex duriuscula",FALSE
"244",20,"3-D-S","3","dung","surface","Poa pratensis",FALSE
"245",20,"3-D-S","3","dung","surface","Poa pratensis",FALSE
"246",20,"3-D-S","3","dung","surface","Poa pratensis",FALSE
"247",20,"3-D-S","3","dung","surface","Poa pratensis",FALSE
"248",56,"7-C-5","7","control","5-10","Crepis tectorum",FALSE
"249",8,"1-C-5","1","control","5-10","Carex duriuscula",FALSE
"250",13,"2-D-0","2","dung","0-5","Carex duriuscula",FALSE
"251",97,"13-B-S","13","biocrust","surface","Carex duriuscula",FALSE
"252",9,"2-B-S","2","biocrust","surface","Carex duriuscula",FALSE
"253",9,"2-B-S","2","biocrust","surface","Carex duriuscula",FALSE
"254",17,"3-B-S","3","biocrust","surface","Carex duriuscula",FALSE
"255",17,"3-B-S","3","biocrust","surface","Carex duriuscula",FALSE
"256",52,"7-D-S","7","dung","surface","Crepis tectorum",FALSE
"257",52,"7-D-S","7","dung","surface","Juncus balticus",FALSE
"258",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"259",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"260",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"261",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"262",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"263",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"264",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"265",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"266",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"267",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"268",84,"11-D-S","11","dung","surface","Juncus balticus",FALSE
"269",47,"6-C-0","6","control","0-5","Carex duriuscula",FALSE
"270",47,"6-C-0","6","control","0-5","Carex duriuscula",FALSE
"271",47,"6-C-0","6","control","0-5","Carex duriuscula",FALSE
"272",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"273",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"274",87,"11-C-0","11","control","0-5","Carex inops subsp. heliophila",FALSE
"275",110,"14-D-5","14","dung","5-10","Carex inops subsp. heliophila",FALSE
"276",131,"17-B-5","17","biocrust","5-10","Bassia scoparia",FALSE
"277",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"278",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"279",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"280",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"281",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"282",15,"2-C-0","2","control","0-5","Juncus balticus",FALSE
"283",4,"1-D-S","1","dung","surface","Carex duriuscula",FALSE
"284",76,"10-D-S","10","dung","surface","Carex praegracilis",FALSE
"285",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"286",99,"13-B-5","13","biocrust","5-10","Carex duriuscula",FALSE
"287",148,"19-D-S","19","dung","surface","Carex duriuscula",FALSE
"288",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"289",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"290",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"291",37,"5-D-0","5","dung","0-5","Carex duriuscula",FALSE
"292",42,"6-B-0","6","biocrust","0-5","Juncus balticus",FALSE
"293",77,"10-D-0","10","dung","0-5","Juncus balticus",FALSE
"294",77,"10-D-0","10","dung","0-5","Juncus balticus",FALSE
"295",77,"10-D-0","10","dung","0-5","Juncus balticus",FALSE
"296",77,"10-D-0","10","dung","0-5","Juncus balticus",FALSE
"297",73,"10-B-S","10","biocrust","surface","Juncus balticus",FALSE
"298",80,"10-C-5","10","control","5-10","Juncus balticus",FALSE
"299",62,"8-D-5","8","dung","5-10","Juncus balticus",FALSE
"300",79,"10-C-0","10","control","0-5","Juncus balticus",FALSE
"301",104,"13-C-5","13","control","5-10","Juncus balticus",FALSE
"302",104,"13-C-5","13","control","5-10","Juncus balticus",FALSE
"303",82,"11-B-0","11","biocrust","0-5","Juncus balticus",FALSE
"304",74,"10-B-0","10","biocrust","0-5","Juncus balticus",FALSE
"305",74,"10-B-0","10","biocrust","0-5","Juncus balticus",FALSE
"306",68,"9-D-S","9","dung","surface","Juncus balticus",FALSE
"307",69,"9-D-0","9","dung","0-5","Potentilla rivalis",FALSE
"308",48,"6-C-5","6","control","5-10","Potentilla norvegica",FALSE
"309",61,"8-D-0","8","dung","0-5","Potentilla norvegica",FALSE
"310",61,"8-D-0","8","dung","0-5","Potentilla norvegica",FALSE
"311",93,"12-D-0","12","dung","0-5","Koeleria macrantha",FALSE
"312",93,"12-D-0","12","dung","0-5","Koeleria macrantha",FALSE
"313",93,"12-D-0","12","dung","0-5","Koeleria macrantha",FALSE
"314",93,"12-D-0","12","dung","0-5","Koeleria macrantha",FALSE
"315",93,"12-D-0","12","dung","0-5","Koeleria macrantha",FALSE
"316",61,"8-D-0","8","dung","0-5","Juncus balticus",FALSE
"317",145,"19-B-S","19","biocrust","surface","Artemisia frigida",FALSE
"318",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"319",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"320",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"321",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"322",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"323",145,"19-B-S","19","biocrust","surface","Koeleria macrantha",FALSE
"324",59,"8-B-5","8","biocrust","5-10","Trifolium hybridum",FALSE
"325",131,"17-B-5","17","biocrust","5-10","Bassia scoparia",FALSE
"326",121,"16-B-S","16","biocrust","surface","Koeleria macrantha",FALSE
"327",121,"16-B-S","16","biocrust","surface","Koeleria macrantha",FALSE
"328",121,"16-B-S","16","biocrust","surface","Koeleria macrantha",FALSE
"329",121,"16-B-S","16","biocrust","surface","Koeleria macrantha",FALSE
"330",121,"16-B-S","16","biocrust","surface","Poa pratensis",FALSE
"331",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"332",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"333",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"334",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"335",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"336",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"337",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"338",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"339",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"340",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"341",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"342",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"343",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"344",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"345",153,"20-B-S","20","biocrust","surface","Koeleria macrantha",FALSE
"346",106,"14-B-0","14","biocrust","0-5","Lepidium densifolium",FALSE
"347",56,"7-C-5","7","control","5-10","Silene latifolia",FALSE
"348",69,"9-D-0","9","dung","0-5","Poa pratensis",FALSE
"349",84,"11-D-S","11","dung","surface","Poa pratensis",FALSE
"350",92,"12-D-S","12","dung","surface","Poa pratensis",FALSE
"351",20,"3-D-S","3","dung","surface","Poa pratensis",FALSE
"352",153,"20-B-S","20","biocrust","surface","Carex duriuscula",FALSE
"353",153,"20-B-S","20","biocrust","surface","Carex duriuscula",FALSE
"354",76,"10-D-S","10","dung","surface","Drymocallis arguta",FALSE
"355",163,"C3","C3","double_control","double_control","Agrostis scabra",TRUE
"356",94,"12-D-5","12","dung","5-10","Sonchus asper",FALSE
"357",60,"8-D-S","8","dung","surface","Potentilla norvegica",FALSE
"358",2,"1-B-0","1","biocrust","0-5","Chamaerhodos erecta",FALSE
"359",154,"20-B-0","20","biocrust","0-5","Potentilla pensylvanica",FALSE
"360",61,"8-D-0","8","dung","0-5","Potentilla norvegica",FALSE
"361",63,"8-C-0","8","control","0-5","Festuca saximontana",FALSE
"362",63,"8-C-0","8","control","0-5","Festuca saximontana",FALSE
"363",63,"8-C-0","8","control","0-5","Festuca saximontana",FALSE
"364",55,"7-C-0","7","control","0-5","Veronica peregrina",FALSE
"365",43,"6-B-5","6","biocrust","5-10","Veronica peregrina",FALSE
"366",105,"14-B-S","14","biocrust","surface","Lepidium densifolium",FALSE
"367",105,"14-B-S","14","biocrust","surface","Lepidium densifolium",FALSE
"368",137,"18-B-S","18","biocrust","surface","Agrostis scabra",FALSE
"369",56,"7-C-5","7","control","5-10","Juncus bufonius",FALSE
"370",84,"11-D-S","11","dung","surface","Carex praegracilis",FALSE
"371",74,"10-B-0","10","biocrust","0-5","Carex duriuscula",FALSE
"372",106,"14-B-0","14","biocrust","0-5","Carex duriuscula",FALSE
"373",2,"1-B-0","1","biocrust","0-5","Oenothera biennis/villosa",FALSE
"374",95,"12-C-0","12","control","0-5","Erysimum inconspicuum",FALSE
"375",4,"1-D-S","1","dung","surface","Calamagrostis canadensis",FALSE
"376",108,"14-D-S","14","dung","surface","Lepidium densifolium",FALSE
"377",108,"14-D-S","14","dung","surface","Lepidium densifolium",FALSE
"378",164,"C4","C4","double_control","double_control","Onagraceae",TRUE
"379",121,"16-B-S","16","biocrust","surface","Koeleria macrantha",FALSE
